"trip_id","start_stop_id","end_stop_id","start_lat","start_lon","end_lat","end_lon","TripDuration","StartTime","duration_micro_min"
202390,17944,17984,44.975655,-93.278104,44.973182,-93.275527,219,2025-06-04 20:30:00,3.65
328719,53290,14954,44.975105,-93.272017,44.988616,-93.253267,477,2025-07-02 20:30:00,7.95
422544,19311,17912,44.982535,-93.26947,44.972007,-93.264035,3691,2025-07-20 20:00:00,61.5166666666667
322654,8927,8930,45.001373,-93.294047,45.004676,-93.294048,1819,2025-07-01 17:30:00,30.3166666666667
276964,53292,17948,44.980357,-93.267579,44.980739,-93.270661,475,2025-06-22 02:00:00,7.91666666666667
763905,17658,17699,44.992047,-93.29393,44.991909,-93.291211,95,2025-09-25 12:30:00,1.58333333333333
780658,56333,16330,44.983045,-93.277453,44.98686,-93.275638,242,2025-09-27 19:00:00,4.03333333333333
580999,53308,17766,44.975137,-93.269886,44.963608,-93.272659,320,2025-08-21 17:00:00,5.33333333333333
760045,53313,53294,44.975587,-93.269488,44.976481,-93.27087,132,2025-09-24 16:30:00,2.2
360679,53321,18009,44.976558,-93.268727,44.975753,-93.26386,135,2025-07-08 12:00:00,2.25
600372,53293,12806,44.978412,-93.269232,45.013099,-93.263317,937,2025-08-25 12:30:00,15.6166666666667
459200,56542,15553,44.981313,-93.262831,44.990618,-93.252658,314,2025-07-28 15:00:00,5.23333333333333
37294,16137,991230,44.978986,-93.235429,44.9721,-93.24561,350,2025-04-22 12:30:00,5.83333333333333
55234,19334,991240,44.971839,-93.276084,44.97201,-93.24572,3425,2025-04-27 10:00:00,57.0833333333333
534518,41383,53310,44.978398,-93.263297,44.979,-93.266637,82,2025-08-12 09:00:00,1.36666666666667
499448,17944,17992,44.975655,-93.278104,44.974805,-93.273893,528,2025-08-05 15:00:00,8.8
275603,43,56910,44.961029,-93.26265,44.962584,-93.26263,62,2025-06-21 21:30:00,1.03333333333333
769926,53941,53312,44.975152,-93.267922,44.973639,-93.27119,393,2025-09-26 12:00:00,6.55
91971,991150,13267,44.97174,-93.24715,44.962816,-93.240714,372,2025-05-06 22:00:00,6.2
